breed,heritage,price,,,,with outlier,w/o outlier
12,0,1000,,,,-0.190755192,-0.171835427
18,0,1150,,,,-0.028503571,0.063564544
17,0,600,,,,-0.623426182,-0.799568682
17,0,1000,,,,-0.190755192,-0.171835427
2,0,300,,,,-0.947929424,-1.270368624
7,0,1200,,,,0.025580303,0.1420312
3,0,2000,,,,0.890922283,1.397497711
5,0,1500,,,,0.350083546,0.612831142
10,0,950,,,,-0.244839066,-0.250302084
13,0,900,,,,-0.298922939,-0.328768741
9,0,800,,,,-0.407090687,-0.485702055
12,0,1500,,,,0.350083546,0.612831142
14,0,750,,,,-0.461174561,-0.564168712
8,0,2800,,,,1.756264263,2.652964221
3,0,1200,,,,0.025580303,0.1420312
3,0,1200,,,,0.025580303,0.1420312
13,0,1500,,,,0.350083546,0.612831142
15,0,2500,,,,1.431761021,2.18216428
10,1,1350,,,,0.187831924,0.377431171
2,0,300,,,,-0.947929424,-1.270368624
5,0,450,,,,-0.785677803,-1.034968653
2,0,695,,,,-0.520666822,-0.650482034
14,0,2000,,,,0.890922283,1.397497711
9,0,700,,,,-0.515258434,-0.642635369
5,0,450,,,,-0.785677803,-1.034968653
11,0,1000,,,,-0.190755192,-0.171835427
8,1,2000,,,,0.890922283,1.397497711
11,1,700,,,,-0.515258434,-0.642635369
13,1,1200,,,,0.025580303,0.1420312
8,0,2500,,,,1.431761021,2.18216428
9,1,1200,,,,0.025580303,0.1420312
14,1,1400,,,,0.241915798,0.455897828
6,0,650,,,,-0.569342308,-0.721102025
1,0,400,,,,-0.839761677,-1.11343531
14,1,1800,,,,0.674586788,1.083631083
20,0,600,,,,-0.623426182,-0.799568682
10,0,2500,,,,1.431761021,2.18216428
2,0,50,,,,-1.218348793,-1.662701908
10,0,1600,,,,0.458251293,0.769764456
9,0,1000,,,,-0.190755192,-0.171835427
18,0,900,,,,-0.298922939,-0.328768741
2,0,750,,,,-0.461174561,-0.564168712
18,0,1300,,,,0.133748051,0.298964514
15,0,600,,,,-0.623426182,-0.799568682
10,0,2000,,,,0.890922283,1.397497711
14,0,850,,,,-0.353006813,-0.407235398
10,0,1500,,,,0.350083546,0.612831142
8,0,2300,,,,1.215425526,1.868297652
7,0,1200,,,,0.025580303,0.1420312
16,0,2000,,,,0.890922283,1.397497711
9,0,1500,,,,0.350083546,0.612831142
3,1,2000,,,,0.890922283,1.397497711
11,0,1500,,,,0.350083546,0.612831142
16,0,350,,,,-0.893845551,-1.191901967
4,0,800,,,,-0.407090687,-0.485702055
4,0,975,,,,-0.217797129,-0.211068756
9,0,800,,,,-0.407090687,-0.485702055
11,0,500,,,,-0.731593929,-0.956501996
2,0,550,,,,-0.677510056,-0.878035339
8,0,1150,,,,-0.028503571,0.063564544
7,0,800,,,,-0.407090687,-0.485702055
7,0,900,,,,-0.298922939,-0.328768741
15,0,900,,,,-0.298922939,-0.328768741
4,1,900,,,,-0.298922939,-0.328768741
6,0,700,,,,-0.515258434,-0.642635369
5,0,900,,,,-0.298922939,-0.328768741
15,0,500,,,,-0.731593929,-0.956501996
9,1,650,,,,-0.569342308,-0.721102025
19,0,1000,,,,-0.190755192,-0.171835427
7,0,700,,,,-0.515258434,-0.642635369
9,0,800,,,,-0.407090687,-0.485702055
16,0,800,,,,-0.407090687,-0.485702055
2,0,50,,,,-1.218348793,-1.662701908
16,0,750,,,,-0.461174561,-0.564168712
14,1,2500,,,,1.431761021,2.18216428
12,0,1400,,,,0.241915798,0.455897828
13,0,600,,,,-0.623426182,-0.799568682
15,0,1500,,,,0.350083546,0.612831142
12,0,900,,,,-0.298922939,-0.328768741
17,0,600,,,,-0.623426182,-0.799568682
16,0,500,,,,-0.731593929,-0.956501996
1,0,1100,,,,-0.082587444,-0.014902113
1,1,2000,,,,0.890922283,1.397497711
5,0,350,,,,-0.893845551,-1.191901967
16,0,850,,,,-0.353006813,-0.407235398
4,0,600,,,,-0.623426182,-0.799568682
2,0,1200,,,,0.025580303,0.1420312
18,0,500,,,,-0.731593929,-0.956501996
16,0,900,,,,-0.298922939,-0.328768741
4,0,600,,,,-0.623426182,-0.799568682
15,0,1100,,,,-0.082587444,-0.014902113
10,0,900,,,,-0.298922939,-0.328768741
13,1,850,,,,-0.353006813,-0.407235398
20,0,1200,,,,0.025580303,0.1420312
20,0,795,,,,-0.412499074,-0.49354872
11,0,250,,,,-1.002013298,-1.348835281
18,0,1000,,,,-0.190755192,-0.171835427
13,0,400,,,,-0.839761677,-1.11343531
12,0,2000,,,,0.890922283,1.397497711
20,0,900,,,,-0.298922939,-0.328768741
13,0,700,,,,-0.515258434,-0.642635369
