page_selection13,page_selection2,page_selection5,page_selection6,page_selection7,page_selection9,page_selection10,page_selection11
Bernese Mountain Dog,Male,10-20-2017 (3 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,12-06-2017 (Unborn),Yes,No,$2500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-11-2017 (9 Weeks),Yes,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health guarantee"
Bernese Mountain Dog,Female,11-07-2017 (9 Days),No,No,$995 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-08-2017 (14 Weeks),Yes,No,$1500 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,08-21-2017 (12 Weeks),No,No,$795 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-06-2017 (10 Weeks),No,No,$1600 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Travel crate"
Bernese Mountain Dog,Male,08-18-2017 (12 Weeks),No,No,$650 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Travel crate"
Bernese Mountain Dog,Female,09-14-2017 (9 Weeks),Yes,Yes,$1150 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,09-13-2017 (9 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,08-02-2017 (15 Weeks),No,No,$850 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Female,12-17-2011 (5 Years),No,No,$0 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Pedigree"
Bernese Mountain Dog,Female,11-07-2017 (9 Days),No,No,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Pedigree"
Bernese Mountain Dog,Female,08-25-2017 (11 Weeks),No,No,$1250 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,09-08-2017 (9 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Veterinarian examination"
Bernese Mountain Dog,Female,10-02-2017 (6 Weeks),No,No,$1200 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,07-03-2017 (4 Months),No,No,$1500 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,11-23-2010 (6 Years),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination"
Bernese Mountain Dog,Female,10-19-2017 (4 Weeks),Yes,No,$1500 USD Buyer tips,Select Areas,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,10-20-2017 (3 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-13-2017 (9 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,09-21-2017 (8 Weeks),No,No,$1200 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee"
Bernese Mountain Dog,Male,10-17-2017 (4 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-21-2017 (8 Weeks),No,No,$1000 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate"
Bernese Mountain Dog,Male,08-04-2017 (14 Weeks),No,No,$795 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-12-2017 (9 Weeks),No,No,$1000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Male,05-17-2017 (6 Months),Yes,No,$1800 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Female,10-20-2017 (3 Weeks),Yes,No,$1400 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-05-2017 (10 Weeks),Yes,Yes,$1500 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health certificate, Health guarantee"
Bernese Mountain Dog,Female,09-21-2017 (8 Weeks),Yes,Yes,$1400 USD Buyer tips,Worldwide,"Registered/registerable, Current vaccinations, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-29-2017 (6 Weeks),No,No,$1400 USD Buyer tips,Not available,"Registered/registerable, Current vaccinations, Veterinarian examination, Pedigree"
Bernese Mountain Dog,N/A,12-12-2017 (Unborn),No,No,$2000 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Health certificate, Health guarantee, Pedigree"
Bernese Mountain Dog,Male,09-06-2017 (10 Weeks),No,No,$1200 USD Buyer tips,United States,"Registered/registerable, Current vaccinations, Veterinarian examination, Health guarantee, Travel crate"
